ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,ENVIROMENT,AREA_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
COR_MAIN_E1_S,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5866,0.2539,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E2_N,CORRIDOR,Corridor East Short,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6506,0.2349,,Verdadero,Corridor East Short,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E2_S,CORRIDOR,Corridor East Short,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6346,0.2589,,Verdadero,Corridor East Short,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_M1,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5886,0.5259,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_M2,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5666,0.5119,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_M3,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5506,0.4979,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_M4,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5306,0.4869,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_N,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4986,0.4719,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N_S,CORRIDOR,Paseo del Azahar,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6016,0.5379,,Verdadero,Paseo del Azahar,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_N1_M1,CORRIDOR,Paseo de la Vega,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4616,0.3939,,Verdadero,Paseo de la Vega,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
