FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
COR_PLZ_E_S_F0,COR_PLZ_E_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:51.835Z,ACTIVE
COR_PLZ_E_W_F0,COR_PLZ_E_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:40.275Z,ACTIVE
COR_PLZ_FC_N_E_F1,COR_PLZ_FC_N_S_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_E_M1,COR_PLZ_FC_N_N_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_E_M2,COR_PLZ_FC_N_E_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_E_M2,COR_PLZ_FC_N_E_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_N_F1,COR_PLZ_FC_N_N_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:33:00.000Z,ACTIVE
COR_PLZ_FC_N_N_M1,COR_PLZ_FC_N_W_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:33:00.000Z,ACTIVE
COR_PLZ_FC_N_N_M2,COR_PLZ_FC_N_N_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:33:00.000Z,ACTIVE
COR_PLZ_FC_N_N_M2,NODE_DOOR_RESTAURANTCASACARMEN,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T19:54:35Z,ACTIVE
COR_PLZ_FC_N_N_M2,NODE_DOOR_WC_C_F1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:34:00.000Z,ACTIVE
COR_PLZ_FC_N_S_F1,COR_PLZ_FC_N_S_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
COR_PLZ_FC_N_S_F1,COR_PLZ_FC_N_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:35:00.000Z,ACTIVE
