ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,FLOOR_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
NODE_DOOR_DEICHMANN,STORE,Deichmann,NODE,DOOR,F0,GROUND,FALSE,0.446,0.5055,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DESIGUAL,STORE,Desigual,NODE,DOOR,F0,GROUND,FALSE,0.559,0.2485,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DONDINO,STORE,Don Dino,NODE,DOOR,F1,UPPER,FALSE,0.381,0.061,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_DRUNI,STORE,Druni,NODE,DOOR,F0,GROUND,FALSE,0.593,0.244,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ELKIOSKO,STORE,El Kiosko,NODE,DOOR,F1,UPPER,FALSE,0.586,0.5075,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ENCUENTRO,STORE,Encuentro,NODE,DOOR,F1,UPPER,FALSE,0.588,0.3075,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_FASHIONNAILS,STORE,Fashion Nails,NODE,DOOR,F0,GROUND,FALSE,0.419,0.3965,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_FIRST_AID_F0,INFO,Information Desk,AMENITY,AMENITY,F0,GROUND,FALSE,0.6176,0.5399,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_FLYINGTIGER,STORE,Flying Tiger,NODE,DOOR,F0,GROUND,FALSE,0.558,0.2465,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_FOSTERS,STORE,Foster’s Hollywood,NODE,DOOR,F1,UPPER,FALSE,0.618,0.5745,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GAME,STORE,GAME,NODE,DOOR,F0,GROUND,FALSE,0.447,0.3945,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GELATERIA,STORE,Gelateria Icecream,NODE,DOOR,F1,UPPER,FALSE,0.6916,0.4999,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GEOX,STORE,Geox,NODE,DOOR,F0,GROUND,FALSE,0.56,0.7725,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GOLDRUSH,STORE,Goldrush,NODE,DOOR,F0,GROUND,FALSE,0.401,0.3055,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GOURMETCAFE,STORE,Gourmet Café,NODE,DOOR,F0,GROUND,FALSE,0.596,0.7475,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GRABA2,STORE,Graba 2,NODE,DOOR,F0,GROUND,FALSE,0.6136,0.6719,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GREENWICH,STORE,Greenwich,NODE,DOOR,F0,GROUND,FALSE,0.464,0.154,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GUESS_N,STORE,Guess,NODE,DOOR,F0,GROUND,FALSE,0.422,0.2645,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GUESS_S,STORE,Guess,NODE,DOOR,F0,GROUND,FALSE,0.592,0.6735,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_GUESS_SS,STORE,Guess,NODE,DOOR,F0,GROUND,FALSE,0.549,0.7865,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_HAAGEN_DASZ,STORE,Haagen Dasz,NODE,DOOR,F0,GROUND,FALSE,0.394,0.1715,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_HM_E,STORE,H&M,NODE,DOOR,F0,GROUND,FALSE,0.636,0.385,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_HM_W,STORE,H&M,NODE,DOOR,F0,GROUND,FALSE,0.471,0.414,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ICECREAM,STORE,Icecream,NODE,DOOR,F0,GROUND,FALSE,0.635,0.6245,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_IKEA,STORE,Ikea,NODE,DOOR,F0,GROUND,FALSE,0.439,0.2375,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_INFINITYLOVE,STORE,Infinity Love,NODE,DOOR,F0,GROUND,FALSE,0.588,0.2715,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_INSIDE,STORE,Inside,NODE,DOOR,F0,GROUND,FALSE,0.474,0.4895,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_IPANEMA,STORE,Ipanema,NODE,DOOR,F0,GROUND,FALSE,0.357,0.162,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_JIJONENCA,STORE,Jijonenca Icecream,NODE,DOOR,F0,GROUND,FALSE,0.6306,0.6329,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_KEBABEXPRESS,STORE,Kebab Express,NODE,DOOR,F1,UPPER,FALSE,0.672,0.6525,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
