FROM;TO;BIDIRECTIONAL;CREATED_AT
COR_PLZ_E_N_F0;COR_PLZ_E_W_F0;TRUE;2026-02-18T14:12:24.429Z
COR_MAIN_E1_S;COR_PLZ_E_W_F0;TRUE;2026-02-18T14:12:30.568Z
COR_MAIN_E1_S;COR_PLZ_E_N_F0;TRUE;2026-02-18T14:12:31.932Z
COR_PLZ_E_E_F0;COR_PLZ_E_N_F0;TRUE;2026-02-18T14:12:50.205Z
COR_PLZ_E_S_F0;COR_PLZ_E_W_F0;TRUE;2026-02-18T14:13:07.018Z
COR_PLZ_E_S_F0;COR_PLZ_E_E_F0;TRUE;2026-02-18T14:13:08.894Z
ESC_E_B1;ESC_E_F0;TRUE;2026-02-18T14:13:27.237Z
PLZ_E_C_F0;COR_PLZ_E_N_F0;TRUE;2026-02-18T14:13:37.199Z
PLZ_E_C_F0;ESC_E_F0;TRUE;2026-02-18T14:13:40.605Z
COR_MAIN_E2_N;COR_MAIN_E2_S;TRUE;2026-02-18T14:13:53.599Z
COR_PLZ_E_N_F0;COR_MAIN_E2_S;TRUE;2026-02-18T14:14:00.270Z
COR_PLZ_E_E_F0;COR_MAIN_E2_S;TRUE;2026-02-18T14:14:02.292Z
COR_PLZ_E_S_F0;COR_MAIN_E_N;TRUE;2026-02-18T14:15:15.994Z
COR_MAIN_E_N;COR_MAIN_E_M2;TRUE;2026-02-18T14:15:28.672Z
COR_MAIN_E_M1;COR_MAIN_E_M2;TRUE;2026-02-18T14:15:33.324Z
COR_MAIN_E_M1;COR_MAIN_E_S;TRUE;2026-02-18T14:16:11.928Z
RAMP_F0;RAMP_B1;TRUE;2026-02-18T14:16:49.945Z
RAMP_B1;NODE_DOOR_LOCKER_CORREOS_B1;TRUE;2026-02-18T14:17:17.172Z
RAMP_B1;NODE_DOOR_LOCKER_AMAZON_B1;TRUE;2026-02-18T14:17:20.172Z
PLZ_W_C_F0;COR_PLZ_W_S_F0;TRUE;2026-02-18T14:17:37.775Z
COR_PLZ_W_E_F0;COR_MAIN_N_N;TRUE;2026-02-18T14:17:46.204Z
COR_MAIN_N_M1;COR_MAIN_N_N;TRUE;2026-02-18T14:18:01.773Z
COR_MAIN_N_S;COR_MAIN_N_M2;TRUE;2026-02-18T14:18:29.354Z
COR_MAIN_N_M2;COR_MAIN_N_M1;TRUE;2026-02-18T14:18:30.734Z
COR_PLZ_MAIN_W_F0;COR_MAIN_N_S;TRUE;2026-02-18T14:19:05.409Z
COR_PLZ_MAIN_N_F0;COR_PLZ_MAIN_W_F0;TRUE;2026-02-18T14:19:12.491Z
COR_PLZ_STAGE_W_F0;COR_PLZ_MAIN_W_F0;TRUE;2026-02-18T14:21:19.906Z
COR_PLZ_MAIN_N_F0;COR_MAIN_E_S;TRUE;2026-02-18T14:23:40.060Z
COR_PLZ_MAIN_E_F0;COR_PLZ_MAIN_N_F0;TRUE;2026-02-18T14:24:22.476Z
COR_PLZ_MAIN_S_F0;COR_PLZ_MAIN_E_F0;TRUE;2026-02-18T14:24:50.777Z
COR_PLZ_MAIN_W_F0;COR_PLZ_MAIN_S_F0;TRUE;2026-02-18T14:25:00.248Z
COR_PLZ_FC_S_E_F1;PLZ_FOOD_COURT_S_F1;TRUE;2026-02-18T14:25:57.673Z
COR_PLZ_STAGE_W_F0;COR_PLZ_STAGE_N_F0;TRUE;2026-02-18T14:26:41.917Z
COR_PLZ_STAGE_N_F0;COR_PLZ_STAGE_E_F0;TRUE;2026-02-18T14:26:54.940Z
COR_PLZ_STAGE_S_F0;COR_PLZ_STAGE_E_F0;TRUE;2026-02-18T14:27:16.138Z
COR_PLZ_STAGE_W_F0;COR_PLZ_STAGE_S_F0;TRUE;2026-02-18T14:27:20.572Z
COR_PLZ_MAIN_S_F0;STR_C_MAIN_OUTSIDE_S_F0;TRUE;2026-02-18T14:28:48.352Z
