FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_MAIN_N1_M3,COR_MAIN_N1_M2,WALK,TRUE,,,,2026-02-25T21:15:47.343Z,ACTIVE,,,,,,,
COR_MAIN_N1_M2,COR_MAIN_N1_M1,WALK,TRUE,,,,2026-02-25T21:15:49.333Z,ACTIVE,,,,,,,
COR_MAIN_N1_M1,SHORTCUT_HM_W_F0,WALK,TRUE,,,,2026-02-25T21:15:51.644Z,ACTIVE,,,,,,,
SHORTCUT_HM_W_F0,COR_MAIN_N1_S,WALK,TRUE,,,,2026-02-25T21:16:06.183Z,ACTIVE,,,,,,,
COR_MAIN_N1_S,COR_PLZ_W_N_F0,WALK,TRUE,,,,2026-02-25T21:16:07.594Z,ACTIVE,,,,,,,
COR_COVERED_M5,COR_COVERED_M6,WALK,TRUE,,,,2026-02-25T21:16:18.655Z,ACTIVE,,,,,,,
COR_COVERED_M6,COR_COVERED_S,WALK,TRUE,,,,2026-02-25T21:16:20.926Z,ACTIVE,,,,,,,
COR_COVERED_S,COR_PLZ_W_S_F0,WALK,TRUE,,,,2026-02-25T21:16:46.728Z,ACTIVE,,,,,,,
COR_PLZ_W_S_F0,RAMP_F0,WALK,TRUE,,,,2026-02-25T21:16:48.127Z,ACTIVE,,,,,,,
COR_PLZ_W_S_F0,COR_PLZ_W_W_F0,WALK,TRUE,,,,2026-02-25T21:16:56.993Z,ACTIVE,,,,,,,
COR_PLZ_W_W_F0,COR_PLZ_W_N_F0,WALK,TRUE,,,,2026-02-25T21:17:04.094Z,ACTIVE,,,,,,,
COR_PLZ_W_S_F0,COR_PLZ_W_E_F0,WALK,TRUE,,,,2026-02-25T21:17:17.764Z,ACTIVE,,,,,,,
COR_PLZ_W_E_F0,COR_PLZ_W_N_F0,WALK,TRUE,,,,2026-02-25T21:17:19.305Z,ACTIVE,,,,,,,
COR_PLZ_W_E_F0,COR_MAIN_N_N,WALK,TRUE,,,,2026-02-25T21:17:23.629Z,ACTIVE,,,,,,,
COR_MAIN_N_N,COR_MAIN_N_M4,WALK,TRUE,,,,2026-02-25T21:17:24.920Z,ACTIVE,,,,,,,
