ANCHOR_ID;ANCHOR_TYPE;NAME;ANCHOR_ROLE;ANCHOR_CLASS;FLOOR;ENVIROMENT;AREA_TYPE;VERTICAL;X;Y;POLYGON;WALKABLE;NOTES;STATUS;ACCESS_WHEELCHAIR;ACCESS_STROLLER;ACCESS_LUGGAGE;PRE_SITE_QA;
COR_MAIN_N_M3;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5506;0.5029;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N_M4;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5306;0.4919;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N_N;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4986;0.4769;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N_S;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6016;0.5429;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_M1;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4616;0.3989;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_M2;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4486;0.3449;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_M3;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4366;0.2939;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_M4;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4316;0.2549;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_N;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4226;0.2289;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N1_S;CORRIDOR;Paseo de la Vega;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4726;0.4569;;TRUE;Paseo de la Vega;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W_E;CORRIDOR;West Corridor West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5626;0.7499;;TRUE;West Corridor West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W_M1;CORRIDOR;West Corridor West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5326;0.7839;;TRUE;West Corridor West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W_M2;CORRIDOR;West Corridor West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5546;0.7609;;TRUE;West Corridor West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W_W;CORRIDOR;West Corridor West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5076;0.8119;;TRUE;West Corridor West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W1_E;CORRIDOR;West Corridor East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6566;0.5879;;TRUE;West Corridor East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W1_M1;CORRIDOR;West Corridor East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6146;0.6629;;TRUE;West Corridor East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W1_M2;CORRIDOR;West Corridor East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6316;0.6319;;TRUE;West Corridor East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_W1_W;CORRIDOR;West Corridor East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5986;0.6889;;TRUE;West Corridor East;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_PLZ_CROSS_NS_N_F0;PLAZA;Plaza Mayor Cross NS;PATH;PLAZA;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6666;0.4829;;TRUE;Plaza Mayor;ACTIVE;TRUE;TRUE;TRUE;FALSE;
