FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
COR_MAIN_W_W;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_W;ENT_W_MAIN;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:02;OK
COR_MAIN_W_W;PHARMACY_MAIN_F0;WALK;TRUE;TRUE;TRUE;TRUE;09/02/2026 11:08;OK
COR_MAIN_W1_E;COR_MAIN_W1_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_W1_M1;COR_MAIN_W1_W;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_W1_W;COR_MAIN_W_E;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_W1_W;COR_MAIN_W1_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:03;OK
COR_PLZ_CROSS_NS_N_F0;COR_PLZ_MAIN_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_NS_N_F0;NODE_PLZ_CROSS_CENTER_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_NS_S_F0;COR_PLZ_MAIN_S_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_NS_S_F0;NODE_PLZ_CROSS_CENTER_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_WE_E_F0;COR_PLZ_MAIN_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_WE_E_F0;NODE_PLZ_CROSS_CENTER_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_WE_W_F0;COR_PLZ_MAIN_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_CROSS_WE_W_F0;NODE_PLZ_CROSS_CENTER_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
